model,C,solver,penalty,AUC,Brier,LogLoss,n_estimators,max_depth,learning_rate,subsample
Logistic Regression,0.01,liblinear,l1,0.6453819819851616,0.23273242714979733,0.6560884794897706,,,,
Logistic Regression,0.01,liblinear,l2,0.6444196618521739,0.23301096985200073,0.6566556529539359,,,,
Logistic Regression,0.01,lbfgs,l2,0.6444261569272893,0.23300761487343033,0.656649066545064,,,,
Logistic Regression,0.01,saga,l1,0.6453826878650232,0.2327365455046323,0.656096937636145,,,,
Logistic Regression,0.01,saga,l2,0.6444038677902706,0.23301247949426016,0.6566589070280183,,,,
Logistic Regression,0.5,liblinear,l1,0.6420912141878714,0.23338767449467848,0.6576905780088521,,,,
Logistic Regression,0.5,liblinear,l2,0.6421071896216837,0.23339149230101197,0.6576898887978203,,,,
Logistic Regression,0.5,lbfgs,l2,0.6422194294216216,0.23336681318104652,0.6576154277986093,,,,
Logistic Regression,0.5,saga,l1,0.6420862142055185,0.23339013058148073,0.6576955179685977,,,,
Logistic Regression,0.5,saga,l2,0.6421079690306976,0.23339138100413515,0.6576895313543007,,,,
Logistic Regression,1.0,liblinear,l1,0.6420349790922306,0.23340056768400025,0.6577298076987507,,,,
Logistic Regression,1.0,liblinear,l2,0.6420459741514637,0.23340214888073083,0.6577248568295987,,,,
Logistic Regression,1.0,lbfgs,l2,0.6421623168780972,0.233385209551834,0.6576588731409228,,,,
Logistic Regression,1.0,saga,l1,0.6420301359720691,0.23340306625912355,0.6577348867142642,,,,
Logistic Regression,1.0,saga,l2,0.6420461163078248,0.23340212810504343,0.6577248586887909,,,,
Logistic Regression,10.0,liblinear,l1,0.6419718567659958,0.23341539649741386,0.6577782251589251,,,,
Logistic Regression,10.0,liblinear,l2,0.6419784939974721,0.23341453541600268,0.6577725473215559,,,,
Logistic Regression,10.0,lbfgs,l2,0.6420168075877379,0.23341128218622886,0.657739102832585,,,,
Logistic Regression,10.0,saga,l1,0.6419752685186602,0.23341524290583193,0.6577777237697139,,,,
Logistic Regression,10.0,saga,l2,0.6419784792916416,0.23341470371763098,0.6577743359578223,,,,
XGBoost,,,,0.6603582967746389,0.2366739504208903,0.6662095733900372,50.0,2.0,0.01,0.5
XGBoost,,,,0.6598412250701859,0.23675745527819692,0.6663773447448919,50.0,2.0,0.01,0.6
XGBoost,,,,0.65955073099742,0.23675965437663932,0.6663820480312326,50.0,2.0,0.01,0.7
XGBoost,,,,0.6589928971819314,0.23676578781909896,0.6663937436101887,50.0,2.0,0.01,0.8
XGBoost,,,,0.6615391798617181,0.23101261375028637,0.6540171977991069,50.0,2.0,0.02,0.5
XGBoost,,,,0.6603706521231885,0.23097465746287763,0.6539139014383779,50.0,2.0,0.02,0.6
XGBoost,,,,0.6601292265046907,0.23106615094321675,0.654124387234377,50.0,2.0,0.02,0.7
XGBoost,,,,0.6601726944885292,0.23107600035154677,0.6541478477031141,50.0,2.0,0.02,0.8
