model,C,solver,penalty,AUC,Brier,LogLoss,n_estimators,max_depth,learning_rate,subsample
Logistic Regression,0.5,liblinear,l1,0.6420940720209223,0.23338713786988324,0.6576895558541558,,,,
Logistic Regression,0.5,liblinear,l2,0.6421071896216837,0.23339149230101197,0.6576898887978203,,,,
Logistic Regression,0.5,lbfgs,l2,0.6422194294216216,0.23336681318104652,0.6576154277986093,,,,
Logistic Regression,0.5,saga,l1,0.6420861945977445,0.23339012778235577,0.6576955059205419,,,,
Logistic Regression,0.5,saga,l2,0.6421079347170932,0.23339137804456886,0.6576895224612759,,,,
Logistic Regression,1.0,liblinear,l1,0.642032356552467,0.23340128306306981,0.6577314061736044,,,,
Logistic Regression,1.0,liblinear,l2,0.6420459741514637,0.23340214888073083,0.6577248568295987,,,,
Logistic Regression,1.0,lbfgs,l2,0.6421623168780972,0.233385209551834,0.6576588731409228,,,,
Logistic Regression,1.0,saga,l1,0.642030023227369,0.23340307339537011,0.657734900380671,,,,
Logistic Regression,1.0,saga,l2,0.6420460868961639,0.23340212723327466,0.6577248539724059,,,,
Logistic Regression,10.0,liblinear,l1,0.6419742783260765,0.23341547938511847,0.6577784677533166,,,,
Logistic Regression,10.0,liblinear,l2,0.6419784939974721,0.23341453541600268,0.6577725473215559,,,,
Logistic Regression,10.0,lbfgs,l2,0.6420168075877379,0.23341128218622886,0.657739102832585,,,,
Logistic Regression,10.0,saga,l1,0.6419752587147731,0.23341524271989145,0.6577777235762614,,,,
Logistic Regression,10.0,saga,l2,0.6419784743896984,0.2334147052923645,0.6577743409298941,,,,
XGBoost,,,,0.6593152734951131,0.22660342646834294,0.6429667952124823,100.0,5.0,0.05,0.8
XGBoost,,,,0.6587754077534629,0.22683647685870897,0.6434692891216083,100.0,5.0,0.05,0.9
XGBoost,,,,0.6581868166935883,0.2277570177474518,0.645613096507168,100.0,5.0,0.1,0.8
XGBoost,,,,0.6587890817248097,0.2278005770689308,0.6456422256060039,100.0,5.0,0.1,0.9
XGBoost,,,,0.6518673463505423,0.23056411262331958,0.6517528296252038,100.0,10.0,0.05,0.8
XGBoost,,,,0.6524426065751141,0.23042047298349774,0.6516316776345565,100.0,10.0,0.05,0.9
XGBoost,,,,0.644333255294393,0.23406457854328455,0.6606605872867264,100.0,10.0,0.1,0.8
XGBoost,,,,0.6460721731766437,0.23498297001869609,0.6632535820724965,100.0,10.0,0.1,0.9
XGBoost,,,,0.6377256291056228,0.23647888310510587,0.6657939273029427,100.0,15.0,0.05,0.8
XGBoost,,,,0.6381293188573061,0.23739853270606823,0.6681473376838839,100.0,15.0,0.05,0.9
XGBoost,,,,0.6253360698923023,0.24669107095682602,0.694238047276635,100.0,15.0,0.1,0.8
XGBoost,,,,0.6257493601002977,0.24706245790883058,0.6947563133148584,100.0,15.0,0.1,0.9
XGBoost,,,,0.6245398962317388,0.24493913833685477,0.688021572427192,100.0,20.0,0.05,0.8
XGBoost,,,,0.6254436871595355,0.2452583156488286,0.6893755441987156,100.0,20.0,0.05,0.9
XGBoost,,,,0.616456444369412,0.2589568631338511,0.733818905803848,100.0,20.0,0.1,0.8
XGBoost,,,,0.6182051171191945,0.25772918790426985,0.7305410118133995,100.0,20.0,0.1,0.9
XGBoost,,,,0.6592685996402365,0.22754547020145496,0.6451984465476625,250.0,5.0,0.05,0.8
XGBoost,,,,0.6578628693075201,0.22790653537808553,0.6459634586371072,250.0,5.0,0.05,0.9
XGBoost,,,,0.6559907974834598,0.22999617450387036,0.6510079871673474,250.0,5.0,0.1,0.8
XGBoost,,,,0.6565905551705896,0.2299926701745537,0.6508642835294068,250.0,5.0,0.1,0.9
XGBoost,,,,0.6478869363794402,0.23416768398254814,0.6607709631947353,250.0,10.0,0.05,0.8
XGBoost,,,,0.6466535608305697,0.23468683873771468,0.6623294126618997,250.0,10.0,0.05,0.9
XGBoost,,,,0.6378726261358294,0.24160631314418504,0.6815568071143159,250.0,10.0,0.1,0.8
XGBoost,,,,0.6368246077758941,0.24222835190710312,0.6838369591157734,250.0,10.0,0.1,0.9
XGBoost,,,,0.6268000402155444,0.24670128668475114,0.6950343280581606,250.0,15.0,0.05,0.8
XGBoost,,,,0.6298507598404555,0.2471652750699955,0.6969739796198552,250.0,15.0,0.05,0.9
XGBoost,,,,0.6167773966680118,0.2625538841090131,0.7525866376944725,250.0,15.0,0.1,0.8
XGBoost,,,,0.6169977904979944,0.26312048504563934,0.7517611948277121,250.0,15.0,0.1,0.9
XGBoost,,,,0.6171611845291527,0.2604930891210857,0.7405038472175705,250.0,20.0,0.05,0.8
